ขวดสารเคมีที่มีอยู่ในคลังฯ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รหัสขวด,ชื่อสารเคมี,CAS / Catalogue No.,เกรด,ขนาดบรรจุ,ปริมาณคงเหลือ,หน่วยบรรจุ,ชื่อผู้เพิ่มขวด,เวลาเพิ่มขวด,,,,,,,,,,,,,,,,,,,,,,,,สถานที่จัดเก็บ,woner
F02213A6500054,Cerium(IV)ammonium nitrate,16774-21-3,AR,500,150,กรัม,นางสาวนุชจลี สุพรหมอินทร์,14/9/2022 09:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500055,Cerium(IV)ammonium nitrate,16774-21-3,AR,500,500,กรัม,นางสาวนุชจลี สุพรหมอินทร์,14/9/2022 09:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500056,Cerium(IV)ammonium nitrate,16774-21-3,AR,500,500,กรัม,นางสาวนุชจลี สุพรหมอินทร์,14/9/2022 09:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500058,Sodium hydroxide,1310-73-2,purum >98% GC,"1,000.00",695,กรัม,นางสาวนุชจลี สุพรหมอินทร์,29/9/2022 09:35,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500059,Biphenyl,92-52-4,"AR, 99%","1,000.00","1,000.00",กรัม,นางสาวนุชจลี สุพรหมอินทร์,3/10/2022 15:22,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500060,Biphenyl,92-52-4,"AR, 99%","1,000.00","1,000.00",กรัม,นางสาวนุชจลี สุพรหมอินทร์,3/10/2022 15:22,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500061,Dichloromethane,75-09-2,commercial grade,20,20,ลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500062,Dichloromethane,75-09-2,commercial grade,20,20,ลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500063,Dichloromethane,75-09-2,commercial grade,20,20,ลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500064,Dichloromethane,75-09-2,commercial grade,20,20,ลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500065,Dichloromethane,75-09-2,commercial grade,20,20,ลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500066,Methyl alcohol,67-56-1,RPE - For analysis - ACS - Reag. Ph.Eur. - Reag. USP,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500067,Methyl alcohol,67-56-1,RPE - For analysis - ACS - Reag. Ph.Eur. - Reag. USP,"2,500.00","1,950.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500068,Sulfuric acid,7664-93-9,"96%, RPE - For analysis - ISO","2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500069,Sulfuric acid,7664-93-9,"96%, RPE - For analysis - ISO","2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500070,Hydrochloric acid,7647-01-0,"37%, RPE - For analysis - ISO","2,500.00",380,มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500071,Hydrochloric acid,7647-01-0,"37%, RPE - For analysis - ISO","2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500074,Hexane,110-54-3,RPE - For analysis - ACS - Reag. Ph.Eur,"2,500.00","1,900.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500075,Hexane,110-54-3,RPE - For analysis - ACS - Reag. Ph.Eur,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:24,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500076,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500079,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500080,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500081,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500082,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500083,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500084,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500085,Paraffin liquid,8012-95-1,Pharmaceutical Grade  Pharmaceutical,"1,000.00","1,000.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,5/10/2022 15:36,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500086,DL-Menthol,89-78-1,AR,500,500,กรัม,นางสาวนุชจลี สุพรหมอินทร์,18/10/2022 10:33,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6500087,DL-Menthol,89-78-1,AR,500,500,กรัม,นางสาวนุชจลี สุพรหมอินทร์,18/10/2022 10:33,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600001,4-Aminophenol,123-30-8,97%,250,250,กรัม,นายนพดล พริ้งเพราะ,28/3/2023 20:51,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600002,Zinc chloride,7646-85-7,AR grade,500,500,กรัม,นายนพดล พริ้งเพราะ,15/8/2023 12:07,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600003,Zinc chloride,7646-85-7,AR grade,500,500,กรัม,นายนพดล พริ้งเพราะ,15/8/2023 12:07,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600004,Dichloromethane,75-09-2,RPE - For analysis - ACS - Reag. Ph.Eur. - Reag. USP - Stabilized with amylene,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,19/9/2023 11:13,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600005,Dichloromethane,75-09-2,RPE - For analysis - ACS - Reag. Ph.Eur. - Reag. USP - Stabilized with amylene,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,19/9/2023 11:13,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600006,Acetone,67-64-1,AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,19/9/2023 11:18,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600007,Acetone,67-64-1,AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,19/9/2023 11:18,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02213A6600008,Methyl alcohol,67-56-1,AR grade,"2,500.00","2,500.00",มิลลิลิตร,นายนพดล พริ้งเพราะ,19/9/2023 11:18,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200003,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200004,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200005,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200006,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200007,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200008,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200009,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6200010,Ethyl alcohol,64-17-5,"95.54%,Commercial grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,15/5/2019 11:50,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6300001,Liquified petroleum gas,68476-85-7,-,15,15,กิโลกรัม,นายนพดล พริ้งเพราะ,26/2/2020 12:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6300002,Liquified petroleum gas,68476-85-7,-,15,15,กิโลกรัม,นายนพดล พริ้งเพราะ,26/2/2020 12:05,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6400002,Ethyl alcohol,64-17-5,"Lab grade, 95.41%",18,18,ลิตร,นายนพดล พริ้งเพราะ,14/7/2021 21:17,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6600001,Ethyl alcohol,64-17-5,"95.96%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,21/9/2023 17:19,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6600002,Ethyl alcohol,64-17-5,"95.96%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,21/9/2023 17:19,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6600003,Ethyl alcohol,64-17-5,"95.96%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,21/9/2023 17:19,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6600004,Ethyl alcohol,64-17-5,"95.96%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,21/9/2023 17:19,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02215A6600005,Ethyl alcohol,64-17-5,"95.96%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,21/9/2023 17:19,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F02221A6600001,Ethyl alcohol,64-17-5,"95.69%,Commercial Grade",18,18,ลิตร,นายนพดล พริ้งเพราะ,22/9/2023 14:27,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800001,Dimethyl formamide,68-12-2,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,"1,000.00",700,มิลลิลิตร,นางอรทัย นาชิน,9/7/2015 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800002,Ammonium iron(II) sulfate hexahydrate,7783-85-9,Analar,"1,000.00",450,กรัม,นางอรทัย นาชิน,23/6/2015 12:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800003,Aluminum chloride hexahydrate,7784-13-6,RPE-for analysis,"1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,23/6/2015 13:06,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800004,Ammonium oxalate monohydrate,6009-70-7,RPE-ACS-for analysis-Reag.,"1,000.00",750,กรัม,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800006,Ammonium chloride,12125-02-9,"GR for analysis,ACS,ISO","1,000.00",600,กรัม,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800007,Ammonium persulfate,7727-54-0,RPE-For analysis-ACS-Reag. Ph.Eur.-Reag,"1,000.00",650,กรัม,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800008,Ammonium iron(II) sulfate hexahydrate,7783-85-9,"puriss., ≥99% (manganometric)","1,000.00",600,กรัม,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800009,Ammonium nitrate,6484-52-2,Chemical,"1,000.00",150,กรัม,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800010,Amyl alcohol,71-41-0,Rragent,2.5,1.5,ลิตร,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800011,3-Methyl-1-butanol,123-51-3,RPE-For analysis,2.5,1.9,ลิตร,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800012,Acetonitrile,75-05-8,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,2.5,1.8,ลิตร,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800014,Acetone,67-64-1,Analar,2.5,1,ลิตร,นางอรทัย นาชิน,23/6/2015 14:40,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800016,Cobalt(II) chloride hexahydrate,7791-13-1,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,250,150,กรัม,นางอรทัย นาชิน,7/7/2015 10:27,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800017,Cobalt(II) chloride hexahydrate,7791-13-1,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,250,200,กรัม,นางอรทัย นาชิน,7/7/2015 10:27,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800018,Dimethyl formamide,68-12-2,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,"1,000.00",750,มิลลิลิตร,นางอรทัย นาชิน,9/7/2015 15:56,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800019,PECTIN,9000-69-5,-,500,200,กรัม,นางอรทัย นาชิน,14/7/2015 09:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800020,PECTIN,9000-69-5,-,500,500,กรัม,นางอรทัย นาชิน,14/7/2015 09:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800021,Potassium hydroxide,1310-58-3,RPE-For analysis,"1,000.00",450,กรัม,นางอรทัย นาชิน,14/7/2015 09:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800022,Potassium hydroxide,1310-58-3,RPE-For analysis,"1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,14/7/2015 09:41,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800072,"Beef Extract,Powder",68990-09-0,-,500,100,กรัม,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800074,Boric acid,10043-35-3,"GR for analysis EMSURE® ACS,ISO,Reag. Ph Eur","1,000.00",500,กรัม,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800075,Boric acid,10043-35-3,"GR for analysis EMSURE® ACS,ISO,Reag. Ph Eur","1,000.00",700,กรัม,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800076,Benzene,71-43-2,RPE-ACS-for analysis,2.5,2.5,ลิตร,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800077,Bromocresol green,76-60-8,-,5,4.8,กรัม,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800078,Bromocresol purple,115-40-2,RPE-For analysis,5,4.5,กรัม,นางอรทัย นาชิน,6/7/2015 15:37,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800079,Calcium-L-lactate Pentahydrate,5743-47-5,GPR,500,400,กรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800080,Copper(II) acetate monohydrate,6046-93-1,RE-Pure,1,0.9,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800081,Copper(II) acetate monohydrate,6046-93-1,RE-Pure,1,0.8,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800082,Copper(II) acetate monohydrate,6046-93-1,RE-Pure,1,1,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800083,Copper(II) acetate monohydrate,6046-93-1,RE-Pure,1,1,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800084,Calcium chloride dihydrate,10035-04-8,RPE-ACS-for analysis,1,0.5,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800085,Calcium chloride dihydrate,10035-04-8,RPE-ACS-for analysis,1,0.5,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800086,Calcium chloride dihydrate,10035-04-8,RPE-ACS-for analysis,1,1,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800087,Calcium chloride dihydrate,10035-04-8,RPE-ACS-for analysis,1,1,กิโลกรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800088,Cobalt(II) sulfate heptahydrate,10026-24-1,RPE-For analysis,250,200,กรัม,นางอรทัย นาชิน,6/7/2015 15:53,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800089,Canada Balsam,8007-47-4,RS-Mounting medium for microscopy,100,80,กรัม,นางอรทัย นาชิน,7/7/2015 10:27,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800090,Calcium sulfate dihydrate,10101-41-4,RPE-ACS-for analysis,500,400,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800091,Copper (II) sulfate-pentahydrate,7758-99-8,-,"1,000.00",800,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800092,Citric acid monohydrate,5949-29-1,RPE-ACS-ISO-for analysis-Reag. Ph.Eur.-R,"1,000.00",800,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800093,Copper(II) acetate monohydrate,6046-93-1,"purum p.a., ≥99.0% (RT)",500,400,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800094,Copper sulfate,7758-98-7,RPE-For analysis,"1,000.00",700,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800095,Copper (II) sulfate-pentahydrate,7758-99-8,RPE-ACS-for analysis,"1,000.00",400,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800096,Copper (II) sulfate-pentahydrate,7758-99-8,RPE-ACS-for analysis,"1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800097,Copper (II) sulfate-pentahydrate,7758-99-8,RPE-ACS-for analysis,"1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800098,Calcium carbonate,471-34-1,RPE-For analysis-ISO-ACS-Reag. Ph.Eur.-R,"1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800099,Trans-Cinnamic acid,140-10-3,"purum, ≥99.0% (T)",250,200,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800100,Sodium cholate hydrate,206986-87-0,"purum, ≥99.0% (T)",25,15,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800101,Celite® 545,68855-54-9,'Contains free crystaline silicic acid,250,100,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800102,Celite® 545,68855-54-9,"filter aid, treated with sodium carbonate, flux calcined","1,000.00","1,000.00",กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800103,Calcium chloride dihydrate,10035-04-8,"for analysis EMSURE® ACS,Reag. Ph Eur","1,000.00",750,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800104,Hydroxyapatite,1306-06-5,"purum p.a., ≥90% (as Ca3(PO4)2, KT)","1,000.00",700,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800105,Silicon carbide,409-21-2,"−400 mesh particle size, ≥97.5%",250,200,กรัม,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800106,Corn oil,8001-30-7,delivery vehicle for fat-soluble compounds,"2,500.00","1,500.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800107,Corn oil,8001-30-7,delivery vehicle for fat-soluble compounds,"2,500.00","2,500.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800108,"1,2-Dichloroethane",107-06-2,HPLC,"2,500.00","2,000.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800109,Cyclohexane,110-82-7,Certified AR for analysis,"2,500.00","2,000.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800110,Dichloromethane,75-09-2,RPE-ACS-for analysis-Reag. Ph.Eur.-Reag.,"2,500.00","2,200.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800111,Trichloromethane,67-66-3,RPE-ISO-for analysis-Stabilized with eth,"2,500.00","2,200.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:16,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800112,Canada Balsam,8007-47-4,natural,100,90,มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 11:32,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800113,Casein Hydrolysate,91079-40-2,for microbiologyfl,500,450,กรัม,นางอรทัย นาชิน,7/7/2015 11:32,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800114,CRESOL  RED,1733-12-6,RPE-For analysis,5,5,กรัม,นางอรทัย นาชิน,7/7/2015 11:32,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800115,crystal violet,548-62-9,"indicator for the determination of the redox potential, S. No.: 78",25,25,กรัม,นางอรทัย นาชิน,7/7/2015 11:32,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800116,Blue Dextran,87915-38-6,-,100,100,กรัม,นางอรทัย นาชิน,7/7/2015 12:01,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800117,EDTA disodium salt dihydrate,6381-92-6,-,500,100,กรัม,นางอรทัย นาชิน,7/7/2015 12:01,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800120,Ether,60-29-7,BAKER ANALYZED ACS Reagent Grade,"4,000.00","2,500.00",มิลลิลิตร,นางอรทัย นาชิน,7/7/2015 12:01,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800121,Diethanolamine,111-42-2,RPE-For analysis,"1,000.00",700,กรัม,นางอรทัย นาชิน,7/7/2015 14:33,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800122,Ethylenediaminetetraacetic acid,60-00-4,"for complexometry, ≥99.0%",100,19.8,กรัม,นางอรทัย นาชิน,7/7/2015 14:33,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
F03101A5800125,Ammonium iron(II) sulfate hexahydrate,7783-85-9,RPE-ACS-for analysis,"1,000.00",900,กรัม,นางอรทัย นาชิน,7/7/2015 14:33,,,,,,,,,,,,,,,,,,,,,,,,Center Store,admin1
